Order,Dataset,InputPath,GroundTruthKey,SpatialRadius,PlotSpotSize
1,HBC,D:\data\3.Human_Breast_Cancer,fine_annot_type,560,100
2,C1_50,D:\data\stomicsDB_data\STDS0000201\GSM6604496_IVH_C1_50_matrix_processed.h5ad,cell_type,560,100
3,C1_110,D:\data\stomicsDB_data\STDS0000201\GSM6604497_IVH_C1_110_matrix_processed.h5ad,cell_type,560,100
4,151507,D:\data\1.DLPFC\151507,layer_guess_reordered,560,100
5,151508,D:\data\1.DLPFC\151508,layer_guess_reordered,560,100
6,151509,D:\data\1.DLPFC\151509,layer_guess_reordered,560,100
7,151510,D:\data\1.DLPFC\151510,layer_guess_reordered,560,100
8,151669,D:\data\1.DLPFC\151669,layer_guess_reordered,560,100
9,151670,D:\data\1.DLPFC\151670,layer_guess_reordered,560,100
10,151671,D:\data\1.DLPFC\151671,layer_guess_reordered,560,100
11,151672,D:\data\1.DLPFC\151672,layer_guess_reordered,560,100
12,151673,D:\data\1.DLPFC\151673,layer_guess_reordered,560,100
13,151674,D:\data\1.DLPFC\151674,layer_guess_reordered,560,100
14,151675,D:\data\1.DLPFC\151675,layer_guess_reordered,560,100
15,151676,D:\data\1.DLPFC\151676,layer_guess_reordered,560,100
16,human_brain,D:\data\STmicsDB\Human_Brain\Human_Brain_1_10xvisium_processed.h5ad,clusters,560,100
17,Mouse_Brain_Anterior,D:\data\2.Mouse_Brain_Anterior,ground_truth_4,560,100
18,Tumor1_GSM6505118_RatColon_FF_A_e4,D:\data\stomicsDB_data\STDS0000186\GSM6505118_RatColon_FF_A_e4_processed.h5ad,clusters,560,100
19,Tumor2_GSM6505119_RatColon_FF_B_e4,D:\data\stomicsDB_data\STDS0000186\GSM6505119_RatColon_FF_B_e4_processed.h5ad,clusters,560,100
20,Tumor3_GSM6505121_RatColon_FF_wCS_D_e4,D:\data\stomicsDB_data\STDS0000186\GSM6505121_RatColon_FF_wCS_D_e4_processed.h5ad,clusters,560,100
21,Tumor4_GSM6505122_RatColon_FFPE_A_e3,D:\data\stomicsDB_data\STDS0000186\GSM6505122_RatColon_FFPE_A_e3_processed.h5ad,clusters,560,100
22,Tumor5_GSM6505120_RatColon_FF_wCS_C_e4,D:\data\stomicsDB_data\STDS0000186\GSM6505120_RatColon_FF_wCS_C_e4_processed.h5ad,clusters,560,100
23,CH_D4,D:\data\CHD\D4\D4.h5ad,region,560,250
24,CH_D7,D:\data\CHD\D7\D7.h5ad,region,560,250
25,CH_D10,D:\data\CHD\D10\D10.h5ad,region,560,250
26,CH_D14,D:\data\CHD\D14\D14.h5ad,region,560,250
27,ARTISTA_Stage57_telencephalon,D:\data\ARTISTA\Stage57.h5ad,Annotation,85,5
28,ARTISTA_Stage44_telencephalon,D:\data\ARTISTA\Stage44.h5ad,Annotation,105,14
29,ARTISTA_Stage54_telencephalon,D:\data\ARTISTA\Stage54.h5ad,Annotation,105,8
30,SlideSeqV2_MouseEmbryo_E8_5,D:\data\slideV2\SlideV2_mouse_embryo_E8.5.h5ad,ground_truth,65,16
31,StereoSeq_MouseBrain,D:\data\Stereo\Stereo_mouse_brain.h5ad,ground_truth,450,95
